"12345";"Atmosphere and Climate";"The aim of the seminar will be to analyze and, hopefully, to contribute to clarifying these debates";"New York";"0"
"Test";"Student 0"
"Test";"Student 1"
"Test";"Student 2"
"Test";"Student 3"
"Test";"Student 4"
"Test";"Student 5"
"Test";"Student 6"
"Test";"Student 7"
"Test";"Student 8"
"Test";"Student 9"
"Test";"Student 10"
"Test";"Student 11"
"Test";"Student 12"
"Test";"Student 13"
"Test";"Student 14"
"Test";"Student 15"
"Test";"Student 16"
"Test";"Student 17"
"Test";"Student 18"
"Test";"Student 19"
